Price,Close,High,Low,Open,Volume
Ticker,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS
Date,,,,,
2013-01-03,1250.245849609375,1272.7284043712914,1245.6434248458206,1269.549696629828,334607
2013-01-04,1250.245849609375,1254.914561447544,1238.425166609757,1247.6300969747615,163808
2013-01-07,1256.437744140625,1264.781751147424,1249.3850417185108,1252.927924279735,371288
2013-01-08,1245.709716796875,1259.2853106120742,1238.4252518228657,1255.5768718837953,302516
2013-01-09,1223.59130859375,1254.848331330315,1219.4524084038894,1254.848331330315,600024
2013-01-10,1224.286865234375,1235.048007389917,1219.8830585846795,1226.6046496986455,182991
2013-01-11,1218.1278076171875,1229.9485697476864,1207.2342560184393,1225.2798585837177,324710
2013-01-14,1220.6112060546875,1227.8956698254603,1205.247642073304,1205.909866052465,321117
2013-01-15,1221.5382080078125,1228.425352838201,1197.3670352969798,1212.5651225315873,529832
2013-01-16,1214.9161376953125,1226.2401519600114,1209.485933214991,1215.3465994641176,342851
2013-01-17,1204.3868408203125,1221.7371593382663,1192.6655075345045,1205.9099884621503,881628
2013-01-18,1168.2296142578125,1180.2158552812627,1139.0586887680188,1158.9584760990033,1406385
2013-01-21,1173.427734375,1180.2155300852507,1161.7726086400978,1171.474205993546,271002
2013-01-22,1167.2030029296875,1171.9047774013648,1158.9582652074098,1168.759213241299,280941
2013-01-23,1180.546875,1185.2487307973095,1159.0908787528047,1162.5344117500845,347240
2013-01-24,1172.3353271484375,1178.096644338711,1160.4814998882982,1178.096644338711,307598
2013-01-25,1168.7589111328125,1180.7451468768877,1159.3222210918727,1168.8913235701675,149298
2013-01-28,1190.9105224609375,1198.6254482818215,1166.1764720576175,1166.1764720576175,207424
2013-01-29,1198.5924072265625,1207.7642751444457,1186.7717239017932,1191.6390545840043,342333
2013-01-30,1189.42041015625,1209.287128484692,1182.2352965283735,1207.8964743692777,314117
2013-01-31,1206.638427734375,1215.114927926372,1181.0434519834519,1192.003292367882,517873
2013-02-01,1198.6585693359375,1208.558785683504,1188.360953922766,1208.558785683504,339772
2013-02-04,1203.7911376953125,1213.5258007330128,1196.6390842698795,1208.5591194203264,326544
2013-02-05,1186.4739990234375,1199.9502452682211,1179.6862010024665,1199.9502452682211,401852
2013-02-06,1178.8916015625,1197.9636926867113,1173.6600945511218,1197.9305491383668,390307
2013-02-07,1162.799072265625,1173.4608618974546,1157.26951834469,1173.3946556687622,285256
2013-02-08,1138.5289306640625,1168.0310504565982,1131.1120521233008,1165.5145662171005,230149
2013-02-11,1128.95947265625,1141.6741407282775,1116.5758357361049,1141.6741407282775,272983
2013-02-12,1127.20458984375,1147.1043724011276,1117.304292610611,1129.0919120629046,249220
2013-02-13,1121.972900390625,1132.5684833366188,1083.067244260804,1124.4562401435924,196764
2013-02-14,1106.212158203125,1130.6813859332517,1097.967500920396,1128.3636017033232,283632
2013-02-15,1112.6026611328125,1119.158695695294,1089.2924058416563,1102.636237227142,248567
2013-02-18,1121.376953125,1128.9925288458282,1104.6227350419101,1106.6424696651363,122997
2013-02-19,1107.6356201171875,1130.3499310153932,1096.0467024829754,1119.290743970306,216417
2013-02-20,1122.5689697265625,1125.118515822621,1106.0795768409257,1106.0795768409257,144186
2013-02-21,1118.0989990234375,1122.4696611825882,1110.5496293824192,1117.502981265851,250402
2013-02-22,1110.7813720703125,1121.8074174590788,1100.8149497154543,1121.8074174590788,150560
2013-02-25,1130.2840576171875,1134.0587024229396,1095.3185949241122,1115.8475407781918,204253
2013-02-26,1119.3240966796875,1125.1185565796711,1108.1987013365633,1118.9598411508186,172412
2013-02-27,1107.8348388671875,1131.078891249283,1099.5900993831444,1122.6355330154256,151694
2013-02-28,1104.2255859375,1123.2314668456684,1091.3453590292647,1113.198755174875,397681
2013-03-01,1090.6497802734375,1104.4240717556588,1069.4917558899049,1104.225372221266,263272
2013-03-04,1085.252685546875,1097.3713358199384,1069.8228345518266,1092.6695617520977,231338
2013-03-05,1089.8551025390625,1095.3184503111709,1077.3390532935641,1077.5046092866583,195669
2013-03-06,1090.7158203125,1099.22538058493,1080.0870952254393,1092.6693483273912,187614
